,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix
342029,108105.0,2020-02-03,SPX 200221C1975000,1,2020-02-21,,C,1975000.0,1266.3,1274.2,0.0,0.0,,,,,,130212737.0,1.0,1.0,100.0,0,,,,
342030,108105.0,2020-02-03,SPX 200221C2000000,1,2020-02-21,2020-01-28,C,2000000.0,1241.3,1249.2,0.0,26618.0,,,,,,130212738.0,1.0,1.0,100.0,0,,,,
342031,108105.0,2020-02-03,SPX 200221C2025000,1,2020-02-21,,C,2025000.0,1216.4,1224.3,0.0,0.0,,,,,,130212739.0,1.0,1.0,100.0,0,,,,
342032,108105.0,2020-02-03,SPX 200221C2050000,1,2020-02-21,2020-01-02,C,2050000.0,1191.4,1199.3,0.0,1.0,,,,,,130212740.0,1.0,1.0,100.0,0,,,,
342033,108105.0,2020-02-03,SPX 200221C2075000,1,2020-02-21,,C,2075000.0,1166.4,1174.3,0.0,0.0,,,,,,130212741.0,1.0,1.0,100.0,0,,,,
342034,108105.0,2020-02-03,SPX 200221C2100000,1,2020-02-21,2020-01-06,C,2100000.0,1141.5,1149.4,0.0,3.0,,,,,,130212742.0,1.0,1.0,100.0,0,,,,
342035,108105.0,2020-02-03,SPX 200221C2110000,1,2020-02-21,2020-02-03,C,2110000.0,1131.5,1139.4,13.0,3.0,,,,,,131045929.0,1.0,1.0,100.0,0,,,,
342036,108105.0,2020-02-03,SPX 200221C2130000,1,2020-02-21,,C,2130000.0,1111.5,1119.4,0.0,0.0,,,,,,131045931.0,1.0,1.0,100.0,0,,,,
342037,108105.0,2020-02-03,SPX 200221C2140000,1,2020-02-21,2020-01-08,C,2140000.0,1101.5,1109.4,0.0,1.0,,,,,,131045932.0,1.0,1.0,100.0,0,,,,
342038,108105.0,2020-02-03,SPX 200221C2150000,1,2020-02-21,,C,2150000.0,1091.5,1099.4,0.0,0.0,,,,,,130212744.0,1.0,1.0,100.0,0,,,,
342039,108105.0,2020-02-03,SPX 200221C2160000,1,2020-02-21,,C,2160000.0,1081.6,1089.4,0.0,0.0,,,,,,131045933.0,1.0,1.0,100.0,0,,,,
342040,108105.0,2020-02-03,SPX 200221C2170000,1,2020-02-21,,C,2170000.0,1071.6,1079.4,0.0,0.0,,,,,,131045934.0,1.0,1.0,100.0,0,,,,
342041,108105.0,2020-02-03,SPX 200221C2175000,1,2020-02-21,2020-01-08,C,2175000.0,1066.6,1074.5,0.0,1.0,,,,,,130212745.0,1.0,1.0,100.0,0,,,,
342042,108105.0,2020-02-03,SPX 200221C2180000,1,2020-02-21,,C,2180000.0,1061.6,1069.5,0.0,0.0,,,,,,131045935.0,1.0,1.0,100.0,0,,,,
342043,108105.0,2020-02-03,SPX 200221C2190000,1,2020-02-21,,C,2190000.0,1051.6,1059.5,0.0,0.0,,,,,,131045936.0,1.0,1.0,100.0,0,,,,
342044,108105.0,2020-02-03,SPX 200221C2200000,1,2020-02-21,2020-01-22,C,2200000.0,1041.6,1049.5,0.0,1.0,,,,,,130212746.0,1.0,1.0,100.0,0,,,,
